  |-----TILL------|       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29
    #  NAME     PCD    PRIC    PLST     HRY     HRL     PWR     WDT     SPD     RC1     RC2     XLB     FCM     VR1     VR2     EFM     RTI     EMX     RR      TLD     RHT     RIN     DKH     DKI     IHC      HE    ORHI    FRCP    FPOP    CFEM    STIR      EQP
  190 SPTHGE15 NON     4197    4617     100    2000       0     4.9    8.05   0.270   1.400   0.100   0.000   0.600   0.885   0.850   0.000   0.350  13.000    25.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SPRINGT                    
  196 ROTHOE   NON     3970    4367      40    2000       0     4.3   11.26   0.230   1.400   0.100   0.000   0.600   0.885   0.800   0.000   0.100  13.000     5.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 ROTARY                     
  199 ROTOTILL NON    14406   15846     100    2500       0     4.3    6.44   0.360   2.000   0.100   0.000   0.600   0.885   0.800   0.000   0.800  13.000     5.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 ROTO-TI                    
  207 BEETPULL NON    16155   17771     100    1500       0     3.0    3.20   0.280   1.400   0.000   0.000   0.800   0.960   0.650   0.000   0.500  20.000   150.0   0.000   0.000   0.000   0.000     2.0   0.950   0.500   0.000   0.000   0.000  10.000 BEET PU                    
  211 CHPLLE15 NON    13000   14300     100    2000       0     4.3    7.24   0.280   1.400   0.100   0.000   0.600   0.885   0.850   0.000   0.600  20.000   150.0  50.000   0.300   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 CHISEL                     
  212 CCHPLOW  NON     7584    8342     100    2500       0     5.5    8.05   0.280   1.400   0.100   0.000   0.600   0.885   0.800   0.000   0.400  20.000   150.0  50.000   0.300   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 COULTER                    
  213 DKPLGE23 NON    26200   28820     100    2000       0     7.3    7.24   0.180   1.700   0.100   0.000   0.600   0.885   0.800   0.000   0.850  50.000   100.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 DISK PL                    
  215 MLBDR4-6 NON     8304    9134     100    2000       0     2.0    7.24   0.290   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.990  30.000   150.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 MOLDBOA                    
  218 MLBD24-6 NON    14964   16461     100    2000       0     2.0    7.24   0.290   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.950  30.000   150.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 MOLDBOA                    
  223 SUBCHPLW NON    10724   11796     100    2000       0     5.5    6.44   0.280   1.400   0.100   0.000   0.600   0.885   0.800   0.000   0.450  15.000   350.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SUBSOIL                    
  227 RICEROLL NON     7233    7956      58    1750       0     1.8    4.83   0.160   1.300   0.100   0.000   0.600   0.885   0.700   0.000   0.000   0.000    50.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 RICE RO                    
  230 RIPRSUBS NON    10525   11578     100    2000       0     5.5    6.44   0.280   1.400   0.100   0.000   0.600   0.885   0.800   0.000   0.250  15.000   350.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 DEEP RI                    
  238 DSKBRMKR NON    21009   23110      50    2500       0     2.1    7.24   0.180   1.700   0.100   0.000   0.600   0.885   0.800   0.000   0.550  20.000   150.0  50.000   0.300   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 DISK BO                    
  240 OFFDGE19 NON    34677   38145     100    2000       0     5.8    7.24   0.180   1.700   0.100   0.000   0.600   0.885   0.800   0.000   0.700  50.000   100.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 OFFSET                     
  247 TANPGE19 NON    29713   32685     100    2000       0     5.8    7.24   0.180   1.700   0.100   0.000   0.600   0.885   0.800   0.000   0.550  18.000    75.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 TANDEM                     
  250 TANRGE19 NON    17821   19603     100    2000       0     5.8    6.44   0.180   1.700   0.100   0.000   0.600   0.885   0.800   0.000   0.750  50.000   100.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 TANDEM                     
  254 MANURSCP NON                                                                                                                                                                                     21.0   0.999                           0.000  10.000 MANURE                     
  255 BLADE 10 NON      291     320     250    2500       0     3.0    6.44   0.290   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.250  13.000    75.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 BLADE 1                    
  256 FURWDIKE NON    19196   21116      50    2500       0     2.1    7.24   0.170   2.200   0.100   0.000   0.600   0.885   0.800   0.000   0.300  13.000   100.0 150.000   1.000 150.000   1.000    17.0   0.000   0.000   0.000   0.000   0.000  10.000 FURROW                     
  258 AERIALFT SELF   78942   86837      50    2000       0     9.1    6.44   0.630   1.300   0.100   0.000   0.560   0.885   0.670   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 AERIAL                     
  259 ANHYTRAC NON     5594    6154      50    1200       0     9.1    6.44   0.630   1.300   0.100   0.000   0.600   0.885   0.650   0.000   0.300  13.000    75.0  25.000   0.300   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 ANHYD F                    
  260 ANHYTRLR NON    12047   13252      50    1200       0     9.1    6.44   0.630   1.300   0.100   0.000   0.600   0.885   0.650   0.000   0.300  13.000    75.0  25.000   0.300   0.000   0.000     9.0   0.000   0.000   0.000   0.000   0.000  10.000 ANHYD F                    
